code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600355,精伦电子,元器件,湖北,164.81,4.92,4.92,55282.51,36991.21,12933.24,15094.57,0.31,0.011000000000000001,0.72,4.95,20020613,-32853.34,-0.67,29.34,160.4,26.49,2.48,28294.0
600856,中天能源,供气供热,吉林,18.99,13.43,13.67,1712831.63,478210.91,82961.86,280488.22,2.05,0.13,3.58,1.28,19940425,148658.69,1.09,-14.66,-39.68,22.14,5.62,28630.0
601208,东材科技,化工原料,四川,131.53,6.27,6.27,305271.59,115173.51,145661.2,122188.0,1.95,0.013999999999999999,3.67,1.01,20110520,37089.87,0.59,-3.32,-86.78,16.99,1.09,38402.0
600784,鲁银投资,普钢,山东,18.22,5.68,5.68,377136.44,221751.09,37289.95,57778.81,1.02,0.128,2.65,1.76,19961225,25499.5,0.45,-1.1,1173.97,12.76,9.75,46915.0
601218,吉鑫科技,机械基件,江苏,0.0,9.92,9.92,434096.06,272463.09,78817.81,58928.88,0.59,-0.08800000000000001,2.48,1.23,20110506,74358.06,0.75,-8.81,-520.33,-1.05,-9.29,52628.0
000993,闽东电力,水力发电,福建,0.0,3.73,4.58,417543.69,116263.67,192354.52,164939.25,3.6,-0.204,4.68,1.03,20000731,959.85,0.02,-61.23,-260.66,28.42,-46.04,35274.0
000609,中迪投资,区域地产,北京,0.0,2.92,2.99,262827.06,240079.3,950.28,4884.4,0.16,-0.021,5.25,0.91,19961010,108223.8,3.62,-91.88,-105.16,21.97,-32.38,23481.0
002615,哈尔斯,家居用品,浙江,20.77,2.3,4.1,176074.09,80601.63,63268.94,3573.23,0.09,0.121,1.88,2.67,20110909,26075.26,0.64,20.13,-34.91,29.66,5.75,23524.0
000795,英洛华,矿物制品,山西,48.77,8.86,11.34,280506.63,200487.11,57075.05,107166.2,0.95,0.06,1.89,2.08,19970808,-11032.65,-0.1,13.83,-26.34,22.98,4.59,90569.0
601611,中国核建,建筑施工,上海,27.41,9.62,26.25,8358709.0,6529457.0,345496.63,118452.82,0.45,0.127,3.14,2.23,20160606,411753.16,1.57,20.84,13.74,9.33,1.47,122749.0
600152,维科技术,电气设备,浙江,19.83,2.95,4.41,267376.69,150013.22,32570.15,86038.82,1.95,0.21899999999999997,3.36,1.72,19980609,12374.67,0.28,-0.53,149.57,16.55,8.6,32276.0
600425,青松建化,水泥,新疆,31.89,13.79,13.79,967709.19,202008.2,543137.44,320171.16,2.32,0.048,2.98,1.03,20030724,-60011.6,-0.44,30.29,153.84,27.39,6.94,85000.0
002766,索菱股份,汽车配件,深圳,33.04,2.49,4.22,367719.34,217879.75,39623.3,91269.07,2.16,0.154,4.5,1.51,20150611,53338.23,1.26,17.32,-39.86,29.76,5.79,33862.0
000971,高升控股,互联网,湖北,72.04,5.92,10.88,393887.38,94121.25,32254.15,280405.47,2.58,0.03,3.63,1.02,20000427,-14080.23,-0.13,0.85,-65.9,24.27,6.65,32925.0
300173,智慧松德,轻工机械,广东,75.42,3.87,5.86,289009.94,160478.45,1080.65,81758.86,1.39,0.046,2.89,1.59,20110201,27435.83,0.47,-2.57,-49.45,30.07,9.79,24174.0
000633,合金投资,综合类,新疆,0.0,3.85,3.85,101979.3,12481.6,9856.49,4787.01,0.12,-0.024,0.39,11.88,19961112,-34890.3,-0.91,39.5,50.85,23.17,-14.03,21485.0
300279,和晶科技,元器件,江苏,0.0,3.13,4.49,313324.66,139084.23,38601.85,100003.78,2.23,-0.08900000000000001,3.62,1.61,20111229,15921.32,0.35,-14.51,-145.82,21.15,-4.39,12195.0
000831,五矿稀土,小金属,山西,90.78,9.81,9.81,227887.27,176932.3,11237.78,74008.31,0.75,0.08199999999999999,2.14,4.61,19980911,18799.42,0.19,-2.78,116.27,21.99,13.56,101950.0
600867,通化东宝,生物制药,吉林,29.97,19.73,20.54,548679.0,240055.25,113493.35,121477.7,0.59,0.335,2.37,5.64,19940824,113336.3,0.55,8.43,6.02,71.94,34.23,55254.0
002842,翔鹭钨业,小金属,广东,24.1,0.72,1.7,186678.81,116800.71,33342.05,33217.53,1.95,0.526,4.95,3.41,20170119,28877.65,1.7,74.83,69.51,15.7,7.25,14723.0
000989,九 芝 堂,中成药,湖南,13.57,4.2,8.69,572051.88,323600.88,115382.63,176361.84,2.03,0.376,5.16,1.98,20000628,158843.59,1.83,1.29,-9.77,66.2,18.15,22307.0
600647,同达创业,综合类,上海,0.0,1.39,1.39,50103.96,44125.89,1810.21,68.08,0.0,-0.237,2.1,5.38,19930504,12161.8,0.87,-16.1,-394.96,61.09,-189.35,11404.0
300340,科恒股份,元器件,广东,42.88,1.53,2.12,360897.5,228642.97,28470.18,86924.81,4.1,0.24,6.79,2.02,20120726,33483.25,1.58,24.68,-62.41,14.65,3.09,32399.0
300730,科创信息,软件服务,湖南,556.02,0.4,1.58,52623.96,40680.64,6257.2,8177.72,0.52,0.024,2.36,7.62,20171205,11437.49,0.72,29.1,10.75,33.56,2.31,18716.0
601068,中铝国际,建筑施工,北京,60.2,2.96,29.59,4772187.5,3891699.5,220630.05,85774.06,0.29,0.07,2.86,2.38,20180831,425449.84,1.44,0.0,0.0,8.56,1.19,90409.0
300694,蠡湖股份,机械基件,江苏,55.63,0.54,2.15,152828.5,84370.09,50786.65,27243.44,1.27,0.37799999999999995,4.24,6.61,20181015,22811.47,1.06,0.0,0.0,27.06,10.41,101470.0
600392,盛和资源,小金属,山西,38.93,13.96,17.55,882621.31,660197.31,55905.23,211916.09,1.21,0.193,3.01,3.32,20030529,136767.88,0.78,33.79,-15.16,14.5,6.36,99154.0
603658,安图生物,医疗保健,河南,46.13,1.37,4.2,224801.7,85541.96,79123.75,53614.45,1.28,0.5870000000000001,3.84,14.11,20160901,50916.82,1.21,45.63,28.84,66.72,29.07,11862.0
000526,紫光学大,文教休闲,福建,26.59,0.96,0.96,378610.38,165760.13,15181.04,5808.39,0.6,0.71,1.43,17.63,19931101,-2202.04,-0.23,2.64,7.31,29.04,2.91,12160.0
600587,新华医疗,医疗保健,山东,45.48,4.03,4.06,1265383.88,693212.5,228384.27,160194.61,3.94,0.14,8.26,1.54,20020927,123900.5,3.05,2.95,-32.22,19.0,1.23,29294.0
